npi,pharmacy_name,owner_name,city,state,zip,phone,grade,outreach_priority,rmm_score,glp1_exposure_index,nearby_glp1_prescriber_claims,est_monthly_glp1_fills,est_loss_per_fill,est_annual_glp1_loss,hpsa_designated,hpsa_score,zip_diabetes_pct,zip_obesity_pct,zip_pct_65_plus,zip_median_income,zip_population,state_glp1_cost_per_pharmacy,county_fips,county_name,rucc_code,rural_classification
1902617251,PHARMACY EXPRESS,FATIHA FDIL,WATERBURY,CT,06702,(646) 601-3841,A,Immediate,98.7,85.6,24370,180,$54,"$116,532",Yes,13,25.4,48.5,28.9,"$16,198",3117,"$1,387,126",,,,
1487898060,WATERBURY PHARMACY LLC,PRAVEEN DHULIPALLA,WATERBURY,CT,06702,(203) 757-2000,A,Immediate,98.7,85.6,24370,180,$54,"$116,532",Yes,13,25.4,48.5,28.9,"$16,198",3117,"$1,387,126",,,,
1457193500,MARK'S PHARMACY INCORPORATED,DEAN ELENDU,DALLAS,TX,75247,(469) 547-2419,A,Immediate,97.6,80.9,77830,55,$54,"$35,495",Yes,21,20.4,41.1,33.1,"$20,274",833,"$453,995",48113,Dallas County,1,Metro
1265538664,POLKS CROSSGATES DISCOUNT DRUGS INC,JOHN GRAY,SHREVEPORT,LA,71103,(318) 429-0161,A,Immediate,97.4,77.3,15076,94,$51,"$57,968",Yes,22,27.4,51.1,27.6,"$27,958",6142,"$758,936",22017,Caddo Parish,2,Metro
1609525138,PARISH PHARMACY INC,KINGS PHARMACY,SHREVEPORT,LA,71103,(318) 635-8159,A,Immediate,97.4,77.3,15076,94,$51,"$57,968",Yes,22,27.4,51.1,27.6,"$27,958",6142,"$758,936",22017,Caddo Parish,2,Metro
1588036552,BRFHH SHREVEPORT LLC,JASON LAFITTE,SHREVEPORT,LA,71103,(318) 675-3364,A,Immediate,97.4,77.3,15076,94,$51,"$57,968",Yes,22,27.4,51.1,27.6,"$27,958",6142,"$758,936",22017,Caddo Parish,2,Metro
1639710395,ALABAMA REGIONAL MEDICAL SERVICES,ANTHONY GARDNER,BIRMINGHAM,AL,35207,(205) 407-5600,A,Immediate,97.0,78.5,32044,70,$52,"$43,882",Yes,24,28.1,50.5,25.6,"$28,672",6824,"$562,239",01073,Jefferson County,1,Metro
1083766380,YORK ENTERPRISES INC,BEN YORK,BIRMINGHAM,AL,35207,(205) 251-1229,A,Immediate,97.0,78.5,32044,70,$52,"$43,882",Yes,24,28.1,50.5,25.6,"$28,672",6824,"$562,239",01073,Jefferson County,1,Metro
1295091197,DRAKE-HOGAN PHARMACY LLC,JONATHAN DUNNING,BIRMINGHAM,AL,35234,(205) 453-9096,A,Immediate,96.9,84.1,57135,75,$52,"$47,016",Yes,24,28.3,51.0,22.6,"$23,804",3828,"$562,239",01073,Jefferson County,1,Metro
1023512829,SRX LLC,KELLY STINSON,MOBILE,AL,36602,(251) 277-8990,A,Immediate,96.6,74.3,20908,66,$52,"$41,374",Yes,20,21.7,40.4,37.3,"$35,000",897,"$562,239",01097,Mobile County,2,Metro
1629078118,FRUTH PHARMACY INC,ANDREW BECKER,CHARLESTON,WV,25301,(304) 341-0257,A,Immediate,96.5,73.7,12123,86,$53,"$54,933",Yes,20,21.2,46.1,24.9,"$21,063",2454,"$753,242",54039,Kanawha County,3,Metro
