npi,display_name,legal_name,dba_name,address_1,address_2,city,state,zip,phone,enumeration_date,last_updated
1609395128,CORDOVA COMMUNITY MEDICAL CENTER,CORDOVA COMMUNITY MEDICAL CENTER,,602 CHASE AVE,,CORDOVA,AK,99574,9074248017,09/15/2017,06/25/2021
1083165740,"FAIRBANKS MEMORIAL HOSPITAL, LLC","FAIRBANKS MEMORIAL HOSPITAL, LLC",,1650 COWLES ST,,FAIRBANKS,AK,99701,9074585525,10/18/2016,10/18/2016
1437194206,GREAT LAND INFUSION PHARMACY INC,GREAT LAND INFUSION PHARMACY INC,,2421 E TUDOR RD,STE 107,ANCHORAGE,AK,99507,9075612421,06/17/2006,04/27/2021
1760340905,"ILIULIUK FAMILY &HEALTH SERVICES, INC.","ILIULIUK FAMILY &HEALTH SERVICES, INC.",,34 LAVELLE CT.,,UNALASKA,AK,99685,9075811202,01/15/2026,01/19/2026
1417975061,MAT-SU VALLEY MEDICAL CENTER LLC,MAT-SU VALLEY MEDICAL CENTER LLC,,2500 S WOODWORTH LOOP,,PALMER,AK,99645,9078616000,07/18/2006,09/02/2025
1841341724,AUBURN UNIVERSITY,AUBURN UNIVERSITY,,400 LEM MORRISON DR,,AUBURN,AL,36849,3348444641,01/16/2007,09/13/2016
1700938974,AUBURN UNIVERSITY,AUBURN UNIVERSITY,,2150 WALKER BUILDING,,AUBURN,AL,36849,3348448938,01/17/2007,08/10/2016
1134502727,"BIRMINGHAM HOME INFUSION, LLC","BIRMINGHAM HOME INFUSION, LLC",,300 AIRPORT COMMONS DRIVE,SUITE 304,CALERA,AL,35040,2056057633,07/01/2015,10/21/2019
1770727414,CENTER HOME HEALTH CARE INC,CENTER HOME HEALTH CARE INC,,607A BOLL WEEVIL CIR,,ENTERPRISE,AL,36330,3343474242,04/24/2009,03/30/2016
1639313018,CENTER HOME HEALTH CARE INC,CENTER HOME HEALTH CARE INC,,607A BOLL WEEVIL CIR,,ENTERPRISE,AL,36330,3343474242,04/29/2009,04/29/2009
1184731192,"EMERGING HOME CARE , INC.","EMERGING HOME CARE , INC.",,3868 HIGHWAY 431,,ROANOKE,AL,36274,3348637511,08/24/2006,02/23/2016
1508006032,EMERGING HOME CARE INCORPORATED,EMERGING HOME CARE INCORPORATED,,3868 HIGHWAY 431,,ROANOKE,AL,36274,3348637511,02/24/2009,02/24/2009
1467213041,"EMERGING RX, LLC DBA EMERGING HOME CARE PHARMACY","EMERGING RX, LLC DBA EMERGING HOME CARE PHARMACY",,3868 HIGHWAY 431,,ROANOKE,AL,36274,3348637511,01/19/2024,01/19/2024
1124043963,"HEALTH SERVICES DIVERSIFIED, INC.","HEALTH SERVICES DIVERSIFIED, INC.",,104 ECOR ROUGE PL,,FAIRHOPE,AL,36532,2519291017,07/13/2006,07/24/2008
1972144798,HH HEALTH SYSTEM - MARSHALL LLC,HH HEALTH SYSTEM - MARSHALL LLC,,11491 US HIGHWAY 431 STE 1,,ALBERTVILLE,AL,35950,2568946650,10/02/2019,10/02/2019
1336557446,HH HEALTH SYSTEM - RETAIL PHARMACY LLC,HH HEALTH SYSTEM - RETAIL PHARMACY LLC,,1300 S. MONTGOMERY AVE.,,SHEFFIELD,AL,35660,2563864600,08/01/2014,06/08/2020
1891154647,HH HEALTH SYSTEM - RETAIL PHARMACY LLC,HH HEALTH SYSTEM - RETAIL PHARMACY LLC,,700 W. MARKET STREET,SUITE 100,ATHENS,AL,35611,2562626745,02/22/2016,07/22/2020
1720565963,HH HEALTH SYSTEM - RETAIL PHARMACY LLC,HH HEALTH SYSTEM - RETAIL PHARMACY LLC,,22454 US HWY 72,SUITE 120,ATHENS,AL,35613,2562626450,07/20/2018,07/22/2020
1861744328,"HOSPITAL DISCOUNT APOTHECARY, INC","HOSPITAL DISCOUNT APOTHECARY, INC",,170 5TH ST SW,,VERNON,AL,35592,2056957970,10/09/2012,10/09/2012
1376137984,"JACKSON HOSPITAL & CLINIC, INC.","JACKSON HOSPITAL & CLINIC, INC.",,1842 EAST MAIN STREET,,PRATTVILLE,AL,36066,3342936899,02/24/2021,02/24/2021
1417301136,JACKSON HOSPITAL AND CLINICS,JACKSON HOSPITAL AND CLINICS,,1725 PINE ST,,MONTGOMERY,AL,36106,3342938780,04/19/2016,04/19/2016
1790371946,K -VA -T FOOD STORES INC,K -VA -T FOOD STORES INC,,7200 US HIGHWAY 431 STE 300,,ALBERTVILLE,AL,35950,2766235100,12/11/2020,06/01/2021
1104623073,K -VA -T FOOD STORES INC,K -VA -T FOOD STORES INC,,3608 GOVERNORS DR SW,,HUNTSVILLE,AL,35805,2563610055,02/27/2025,02/27/2025
1154127165,K VA T FOOD STORES INC,K VA T FOOD STORES INC,,150 OLD GURLEY ROAD NE,,HUNTSVILLE,AL,35811,2563612115,02/20/2025,02/20/2025
1245038512,K VA T FOOD STORES INC,K VA T FOOD STORES INC,,10210 MEMORIAL PARKWAY NE,,HUNTSVILLE,AL,35810,2563610225,03/04/2025,03/04/2025
1538179940,"MEDICAL WEST HOSPITAL AUTHORITY, AN AFFILIATE OF UAB HEALTH SYSTEM","MEDICAL WEST HOSPITAL AUTHORITY, AN AFFILIATE OF UAB HEALTH SYSTEM",,5000 MEDICAL WEST WAY,,BESSEMER,AL,35022,2054263784,08/08/2006,12/09/2025
1902198724,QUALITY OF LIFE HEALTH SERVICES INC,QUALITY OF LIFE HEALTH SERVICES INC,,24460 HIGHWAY 48,,WOODLAND,AL,36280,2564499191,05/12/2011,01/24/2013
1366875403,QUALITY OF LIFE HEALTH SERVICES INC,QUALITY OF LIFE HEALTH SERVICES INC,,707 W MARTIN LUTHER KING HWY,,TUSKEGEE,AL,36083,3347277341,08/13/2013,12/10/2013
1649695362,"QUALITY OF LIFE HEALTH SERVICES, INC.","QUALITY OF LIFE HEALTH SERVICES, INC.",,64 GILES ST,,HEFLIN,AL,36264,2564633307,03/04/2014,03/04/2014
1972396588,STEEL CITY INFUSION LLC,STEEL CITY INFUSION LLC,,2644 OLD ROCKY RIDGE RD,,HOOVER,AL,35216,2058553032,05/27/2025,12/15/2025
1912125048,THE HEALTH CARE AUTHORITY OF THE CITY OF HUNTSVILLE,THE HEALTH CARE AUTHORITY OF THE CITY OF HUNTSVILLE,,101 SIVLEY RD SW,,HUNTSVILLE,AL,35801,2562653402,04/23/2007,04/05/2023
1578984795,THE HEALTH CARE AUTHORITY OF THE CITY OF HUNTSVILLE,THE HEALTH CARE AUTHORITY OF THE CITY OF HUNTSVILLE,,1963 MEMORIAL PKWY SW,,HUNTSVILLE,AL,35801,2562653800,12/16/2013,04/05/2023
1205219789,THE HEALTH CARE AUTHORITY OF THE CITY OF HUNTSVILLE,THE HEALTH CARE AUTHORITY OF THE CITY OF HUNTSVILLE,,1963 MEMORIAL PKWY SW STE 15,,HUNTSVILLE,AL,35801,2562653900,07/02/2015,01/03/2025
1194395467,"THE RUSSELL HOSPITAL CORPORATION, INC","THE RUSSELL HOSPITAL CORPORATION, INC",,3316 HIGHWAY 280,SUITE 102,ALEXANDER CITY,AL,35010,2563977726,06/29/2021,03/07/2023
1437253168,UNIVERSITY OF ALABAMA AT BIRMINGHAM,UNIVERSITY OF ALABAMA AT BIRMINGHAM,,601 19TH ST S,4TH FLOOR QT,BIRMINGHAM,AL,35249,2059342661,09/12/2006,11/12/2024
1013014851,UNIVERSITY OF ALABAMA AT BIRMINGHAM,UNIVERSITY OF ALABAMA AT BIRMINGHAM,,3220 5TH AVE S RM 2302,,BIRMINGHAM,AL,35222,2059755656,09/20/2006,12/14/2020
1922105766,UNIVERSITY OF ALABAMA AT BIRMINGHAM,UNIVERSITY OF ALABAMA AT BIRMINGHAM,,2000 6TH AVE S,,BIRMINGHAM,AL,35233,2058018730,09/20/2006,11/12/2024
1346307733,UNIVERSITY OF ALABAMA AT BIRMINGHAM,UNIVERSITY OF ALABAMA AT BIRMINGHAM,,1201 11TH AVE S,,BIRMINGHAM,AL,35205,2059307585,01/03/2007,01/15/2026
1821866237,UNIVERSITY OF ALABAMA AT BIRMINGHAM,UNIVERSITY OF ALABAMA AT BIRMINGHAM,,601 19TH STREET SOUTH SUITE Q440E,4TH FLOOR QUARTERBACK TOWER,BIRMINGHAM,AL,35249,2059340171,12/14/2023,06/27/2024
1376032847,UNIVERSITY OF SOUTH ALABAMA,UNIVERSITY OF SOUTH ALABAMA,,1660 SPRING HILL AVE,,MOBILE,AL,36604,2514106337,05/09/2018,03/07/2023
1477276749,"WHATLEY HEALTH SERVICES, INC.","WHATLEY HEALTH SERVICES, INC.",,2731 MARTIN LUTHER KING JR BLVD STE C,,TUSCALOOSA,AL,35401,8062427782,09/22/2022,12/14/2023
1134155831,ARKANSAS CHILDRENS HOSPITAL,ARKANSAS CHILDRENS HOSPITAL,,1 CHILDRENS WAY,,LITTLE ROCK,AR,72202,5013641272,06/24/2006,12/05/2022
1821477480,HARDING UNIVERSITY,HARDING UNIVERSITY,,903 E PARK AVE,,SEARCY,AR,72143,5012795459,05/28/2015,05/28/2015
1851421861,JEFFERSON REGIONAL MEDICAL CENTER,JEFFERSON REGIONAL MEDICAL CENTER,,1600 W 40TH AVE,,PINE BLUFF,AR,71603,8705417100,03/07/2007,03/07/2023
1427269091,MERCY HOSPITAL FORT SMITH,MERCY HOSPITAL FORT SMITH,,7301 ROGERS AVE,,FORT SMITH,AR,72903,4793146000,05/25/2007,04/30/2024
1710597778,OUACHITA COUNTY MEDICAL CENTER,OUACHITA COUNTY MEDICAL CENTER,,638 CALIFORNIA AVE SW,,CAMDEN,AR,71701,8708361296,08/05/2020,09/06/2023
1780556787,ST BERNARDS HOSPITAL INC,ST BERNARDS HOSPITAL INC,,225 E WASHINGTON AVE,,JONESBORO,AR,72401,8702074995,09/19/2025,09/19/2025
1528451648,ST. BERNARDS HOSPITAL INC,ST. BERNARDS HOSPITAL INC,,225 E WASHINGTON AVE,,JONESBORO,AR,72401,8702077222,03/13/2015,11/14/2025
