# State-Level GLP-1 Prescription Data from Public CMS Sources
# Medicare Part D data: 2023 (data.cms.gov)
# Medicaid SDUD data: 2024 (data.medicaid.gov)
# NADAC acquisition cost: 2024 (data.medicaid.gov)
# Generated: 2026-02-12
# Independent pharmacy counts from: qualified_independent_pharmacies_feb2026.csv
#
state,state_name,medicare_glp1_claims,medicare_glp1_cost,medicaid_glp1_claims,medicaid_glp1_reimbursed,total_govt_glp1_claims,total_glp1_drug_cost,avg_cost_per_claim,independent_pharmacy_count,govt_glp1_claims_per_pharmacy,govt_glp1_cost_per_pharmacy
AK,Alaska,22322,31615230.16,23263,21344211.83,45585,52959441.99,1161.77,49,930.3,1080804.94
AL,Alabama,352863,449967334.49,63491,62232638.24,416354,512199972.73,1230.2,911,457.0,562239.27
AR,Arkansas,167519,201998393.07,16899,12533593.85,184418,214531986.92,1163.29,629,293.2,341068.34
AZ,Arizona,228420,328774734.06,84991,87248054.82,313411,416022788.88,1327.4,357,877.9,1165329.94
CA,California,1105211,1417758892.8,1814596,2081081659.97,2919807,3498840552.77,1198.31,3827,762.9,914251.52
CO,Colorado,138820,195813127.87,75162,86456959.02,213982,282270086.89,1319.13,291,735.3,970000.3
CT,Connecticut,176410,253355018.04,209532,244623283.28,385942,497978301.32,1290.29,359,1075.0,1387126.19
DC,District of Columbia,21544,30692135.86,29394,30668983.37,50938,61361119.23,1204.62,88,578.8,697285.45
DE,Delaware,43456,70808598.18,39562,23590459.8,83018,94399057.98,1137.09,80,1037.7,1179988.22
FL,Florida,898923,1215471819.67,129409,120389459.49,1028332,1335861279.16,1299.06,3442,298.8,388106.12
GA,Georgia,480300,655426906.61,49298,43142095.78,529598,698569002.39,1319.06,1204,439.9,580206.81
HI,Hawaii,37632,59654173.0,42101,32048698.14,79733,91702871.14,1150.12,137,582.0,669364.02
IA,Iowa,150982,184877712.26,68314,64708145.12,219296,249585857.38,1138.12,430,510.0,580432.23
ID,Idaho,80859,100971485.89,46060,44345180.96,126919,145316666.85,1144.96,240,528.8,605486.11
IL,Illinois,424357,599199809.78,238063,261015053.99,662420,860214863.77,1298.59,1086,610.0,792094.72
IN,Indiana,369522,511850024.47,193702,205167658.84,563224,717017683.31,1273.06,358,1573.3,2002842.69
KS,Kansas,135204,168654125.29,31136,30188894.5,166340,198843019.79,1195.4,442,376.3,449871.09
KY,Kentucky,293111,380147847.09,355910,325280815.1,649021,705428662.19,1086.91,856,758.2,824098.9
LA,Louisiana,349919,436769876.45,265891,264487161.7,615810,701257038.15,1138.76,924,666.5,758936.19
MA,Massachusetts,378218,497661326.33,251670,270181803.84,629888,767843130.17,1219.02,401,1570.8,1914820.77
MD,Maryland,176149,268326209.9,123266,119243639.09,299415,387569848.99,1294.42,649,461.3,597180.04
ME,Maine,63513,90021593.58,32886,32146494.98,96399,122168088.56,1267.32,111,868.5,1100613.41
MI,Michigan,508310,697794560.87,393880,260689392.93,902190,958483953.8,1062.4,2110,427.6,454257.8
MN,Minnesota,182075,247388936.61,126752,134828502.03,308827,382217438.64,1237.64,505,611.5,756866.22
MO,Missouri,322401,419369377.8,124523,112610320.71,446924,531979698.51,1190.31,847,527.7,628075.2
MS,Mississippi,167847,219258560.06,40682,42428331.26,208529,261686891.32,1254.92,643,324.3,406978.06
MT,Montana,35252,45525924.02,21803,20659480.3,57055,66185404.32,1160.03,215,265.4,307839.09
NC,North Carolina,559484,730156282.71,221115,242215067.54,780599,972371350.25,1245.67,1236,631.6,786708.21
ND,North Dakota,31841,38605113.79,5524,4090395.53,37365,42695509.32,1142.66,173,216.0,246794.85
NE,Nebraska,81005,96938909.57,33936,31215224.66,114941,128154134.23,1114.96,321,358.1,399234.06
NH,New Hampshire,52414,72911388.56,21616,22175127.32,74030,95086515.88,1284.43,62,1194.0,1533653.48
NJ,New Jersey,307551,447410919.66,98114,97987781.9,405665,545398701.56,1344.46,1576,257.4,346065.17
NM,New Mexico,75960,101359112.5,56834,57077267.17,132794,158436379.67,1193.1,157,845.8,1009148.92
NV,Nevada,94942,139971334.55,26207,35451193.27,121149,175422527.82,1447.99,246,492.5,713099.71
NY,New York,972749,1372254531.36,673329,767243415.14,1646078,2139497946.5,1299.75,4819,341.6,443971.35
OH,Ohio,558478,747643347.93,363689,342639216.48,922167,1090282564.41,1182.3,983,938.1,1109137.91
OK,Oklahoma,247337,303444777.81,67177,77900142.99,314514,381344920.8,1212.49,783,401.7,487030.55
OR,Oregon,121751,163730093.45,53210,50492144.91,174961,214222238.36,1224.4,282,620.4,759653.33
PA,Pennsylvania,676749,869417302.28,568470,621887055.06,1245219,1491304357.34,1197.62,1677,742.5,889269.15
RI,Rhode Island,43189,50353424.18,34865,35132594.03,78054,85486018.21,1095.22,58,1345.8,1473896.87
SC,South Carolina,270255,363665535.54,56411,51952487.83,326666,415618023.37,1272.3,534,611.7,778310.91
SD,South Dakota,35922,44759568.69,11922,11496773.39,47844,56256342.08,1175.83,141,339.3,398981.15
TN,Tennessee,392430,523902632.15,88068,86010715.39,480498,609913347.54,1269.34,906,530.4,673193.54
TX,Texas,1171442,1665382828.4,142820,140156645.75,1314262,1805539474.15,1373.8,3977,330.5,453995.34
UT,Utah,77856,99957323.0,21189,21331556.97,99045,121288879.97,1224.58,331,299.2,366431.66
VA,Virginia,278268,374129319.12,215580,217931352.43,493848,592060671.55,1198.87,638,774.1,927994.78
VT,Vermont,26765,36681322.52,13885,15868327.72,40650,52549650.24,1292.73,68,597.8,772788.97
WA,Washington,188596,261395633.32,71258,59658960.56,259854,321054593.88,1235.52,585,444.2,548811.27
WI,Wisconsin,247503,328388711.77,200903,210242176.12,448406,538630887.89,1201.21,593,756.2,908315.16
WV,West Virginia,137857,191421387.09,92549,86524928.69,230406,277946315.78,1206.33,369,624.4,753242.05
WY,Wyoming,16638,20676866.88,2404,2251483.8,19042,22928350.68,1204.09,69,276.0,332294.94
